Racha_Local,Racha_Visita,Dif_Goles_Local,Dif_Goles_Visita,xG_Favor_Local,xG_Contra_Local,xG_Favor_Visita,xG_Contra_Visita,Pts_Totales_Local,Pts_Totales_Visita,FTR,B365H,B365D,B365A
6,0,0,-8,1.7,1.5333333333333332,1.6166666666666665,2.566666666666667,6,0,H,1.5,4.2,6.5
9,6,7,1,2.6,0.9500000000000001,2.0166666666666666,2.85,9,6,H,1.18,8.0,12.0
9,5,7,1,2.4,1.0833333333333333,2.983333333333333,1.2833333333333334,9,5,A,1.22,6.5,12.0
4,3,0,-1,1.8166666666666664,1.8833333333333335,1.5,2.1666666666666665,4,3,D,2.38,3.25,3.0
4,7,0,5,0.7833333333333333,1.5833333333333333,3.533333333333333,1.1500000000000001,4,8,A,4.75,3.9,1.67
1,1,-3,-2,1.7166666666666668,2.1666666666666665,1.4333333333333333,2.5166666666666666,1,1,D,1.62,4.0,5.5
0,3,-4,-3,1.7999999999999998,2.3666666666666667,1.75,1.5833333333333333,0,3,A,4.5,4.0,1.7
5,7,1,6,0.9833333333333334,1.5833333333333333,1.95,0.5499999999999999,5,7,D,5.25,3.6,1.7
4,7,0,2,1.4833333333333334,1.9833333333333334,2.3166666666666664,3.2166666666666663,5,8,A,2.45,3.4,2.88
4,7,0,3,1.4166666666666667,2.4166666666666665,1.5999999999999999,1.6500000000000001,4,7,H,2.63,3.2,2.8
1,3,-3,0,2.8833333333333333,1.7833333333333332,0.9166666666666666,0.6833333333333335,2,3,H,2.2,3.0,3.7
7,1,4,-5,2.1666666666666665,1.7166666666666668,1.0166666666666666,2.0833333333333335,7,1,D,1.38,5.0,7.5
1,2,-4,-3,1.4833333333333334,2.25,1.9500000000000002,1.3,1,2,D,3.0,3.25,2.45
3,3,-1,0,2.25,2.35,2.6833333333333336,1.5999999999999999,3,3,H,1.8,3.6,4.5
4,2,-1,-1,1.3333333333333333,1.95,1.6166666666666665,1.0999999999999999,4,2,D,3.25,3.3,2.25
7,3,2,-5,2.0166666666666666,2.75,2.066666666666667,1.7999999999999998,7,3,D,1.8,3.5,4.75
3,1,0,-10,2.216666666666667,2.55,1.0166666666666668,2.8000000000000003,6,4,H,1.67,3.75,5.5
1,7,-6,2,1.5333333333333332,2.6999999999999997,1.3333333333333333,2.3166666666666664,1,7,A,3.4,3.5,2.1
4,7,3,4,2.8000000000000003,1.1333333333333333,2.3333333333333335,1.7,4,7,A,3.0,3.5,2.3
2,6,-1,1,1.6333333333333335,1.8166666666666664,2.6999999999999997,1.4000000000000001,2,6,A,4.33,3.75,1.8
6,9,3,9,1.9666666666666668,1.5666666666666664,2.966666666666667,1.1666666666666667,7,12,A,4.2,3.8,1.8
1,3,-3,-1,1.9833333333333334,2.6333333333333333,1.2,1.0999999999999999,2,4,A,3.8,3.4,2.0
2,7,-1,6,0.8833333333333333,1.2833333333333334,2.3333333333333335,1.6166666666666665,2,7,D,8.0,4.75,1.4
7,1,4,-3,2.2333333333333334,1.1833333333333333,1.7166666666666666,1.6833333333333333,8,1,H,1.33,4.5,11.0
4,6,1,2,2.216666666666667,1.4833333333333332,1.3166666666666667,1.6500000000000001,4,6,H,1.62,3.8,6.0
4,7,0,2,1.7666666666666666,2.9000000000000004,1.1666666666666667,2.6,4,7,A,2.25,3.4,3.2
1,6,-2,-2,1.4666666666666668,1.7333333333333334,1.3333333333333333,1.55,4,7,H,2.05,3.1,4.0
4,1,0,-3,1.7666666666666666,1.9833333333333334,0.6333333333333333,2.0333333333333337,5,4,H,2.9,2.75,3.0
4,2,0,-1,1.6500000000000001,1.3333333333333333,1.2166666666666668,0.7333333333333334,5,3,H,1.91,3.0,5.0
1,6,-3,1,0.5499999999999999,1.6333333333333335,1.4000000000000001,1.2333333333333332,5,7,A,3.75,3.2,2.05
6,4,2,-1,2.3666666666666667,1.6833333333333333,2.3000000000000003,1.8333333333333333,7,5,H,2.15,3.1,3.7
1,5,-5,1,1.7999999999999998,2.0,1.1666666666666667,1.9666666666666668,2,6,A,2.15,3.4,3.4
3,7,-2,2,1.0,1.8333333333333333,1.7,2.75,6,8,A,2.7,3.0,2.8
7,7,4,2,3.3166666666666664,1.2,1.45,2.8000000000000003,11,7,H,1.17,7.0,19.0
1,6,-4,3,1.1833333333333333,1.8,1.8,2.0166666666666666,1,7,H,2.88,3.3,2.5
3,1,-5,-3,0.8666666666666667,2.0500000000000003,2.1666666666666665,2.5166666666666666,7,2,H,1.9,3.4,4.2
1,1,-9,-3,0.8833333333333334,2.5500000000000003,1.0166666666666666,1.9000000000000001,4,4,D,3.9,3.0,2.2
