Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
2024-12-22,Real Madrid,Sevilla,4,2,H,1.33,5.5,9.0
2024-12-22,Las Palmas,Espanol,1,0,H,1.85,3.6,4.33
2024-12-22,Leganes,Villarreal,2,5,A,4.2,3.4,1.91
2024-12-22,Betis,Vallecano,1,1,D,1.8,3.5,4.75
2025-01-03,Valencia,Real Madrid,1,2,A,7.0,4.5,1.42
2025-01-10,Vallecano,Celta,2,1,H,2.75,3.1,2.7
2025-01-11,Alaves,Girona,0,1,A,2.75,3.1,2.75
2025-01-11,Valladolid,Betis,1,0,H,4.5,3.5,1.83
2025-01-11,Espanol,Leganes,1,1,D,2.1,3.0,4.0
2025-01-11,Sevilla,Valencia,1,1,D,2.0,3.3,4.0
2025-01-12,Las Palmas,Getafe,1,2,A,2.45,2.9,3.3
2025-01-12,Ath Madrid,Osasuna,1,0,H,1.33,5.0,10.0
2025-01-13,Sociedad,Villarreal,1,0,H,2.0,3.3,4.0
2025-01-17,Espanol,Valladolid,2,1,H,1.75,3.4,5.25
2025-01-18,Betis,Alaves,1,3,A,1.75,3.6,4.75
2025-01-18,Getafe,Barcelona,1,1,D,6.5,4.2,1.5
2025-01-18,Girona,Sevilla,1,2,A,1.91,3.5,4.0
2025-01-18,Leganes,Ath Madrid,1,0,H,7.0,4.0,1.5
2025-01-19,Celta,Ath Bilbao,1,2,A,2.8,3.2,2.6
2025-01-19,Real Madrid,Las Palmas,4,1,H,1.14,7.5,17.0
2025-01-19,Osasuna,Vallecano,1,1,D,2.15,3.0,3.8
2025-01-19,Valencia,Sociedad,1,0,H,3.1,3.0,2.55
2025-01-20,Villarreal,Mallorca,4,0,H,1.73,3.5,5.25
2025-01-24,Las Palmas,Osasuna,1,1,D,2.5,3.1,3.0
2025-01-25,Valladolid,Real Madrid,0,3,A,10.0,6.0,1.27
2025-01-25,Sevilla,Espanol,1,1,D,1.7,3.8,4.75
2025-01-25,Mallorca,Betis,0,1,A,2.25,3.0,3.5
2025-01-25,Ath Madrid,Villarreal,1,1,D,1.7,4.0,4.75
2025-01-26,Vallecano,Girona,2,1,H,2.75,2.9,2.88
